frame_id,track_id,center_x,center_y
1,1,809,555
1,2,779,598
1,3,595,606
1,4,886,453
1,5,639,599
1,6,729,599
1,7,887,251
1,8,739,621
1,9,704,634
1,10,720,637
2,1,810,555
2,2,779,599
2,3,586,599
2,4,886,452
2,5,631,598
2,6,727,599
2,7,888,253
2,8,738,620
2,9,705,635
2,10,721,636
3,1,810,555
3,2,778,600
3,3,574,590
3,4,888,449
3,5,618,598
3,6,727,599
3,7,889,254
3,8,738,621
3,9,704,635
3,10,718,637
4,1,810,555
4,2,778,600
4,3,574,590
4,4,888,449
4,5,618,598
4,6,727,599
4,7,889,254
4,8,738,621
4,9,705,635
4,10,718,637
5,1,810,555
5,2,777,600
5,3,564,584
5,4,888,447
5,5,608,592
5,6,724,598
5,7,890,257
5,8,738,622
5,9,705,636
5,10,721,632
6,1,810,556
6,2,777,600
6,3,554,579
6,4,889,445
6,5,593,585
6,6,723,599
6,7,890,259
6,8,737,623
6,9,705,636
6,10,720,632
7,1,811,556
7,2,776,600
7,3,543,572
7,4,889,444
7,5,585,579
7,6,721,599
7,7,890,260
7,8,737,622
7,9,705,636
7,10,705,636
8,1,811,557
8,2,776,600
8,3,530,564
8,4,889,443
8,5,577,575
8,6,720,600
8,7,890,262
8,8,736,623
8,9,705,636
8,10,705,636
9,1,811,558
9,2,776,601
9,3,518,556
9,4,889,441
9,5,576,575
9,6,717,601
9,7,890,263
9,8,736,623
9,9,704,636
9,10,704,636
10,1,811,557
10,2,776,601
10,3,518,556
10,4,889,441
10,5,576,575
10,6,718,601
10,7,891,263
10,8,736,623
10,9,704,637
10,10,704,637
11,1,811,556
11,2,775,601
11,3,508,549
11,4,890,436
11,5,576,572
11,6,717,601
11,7,891,264
11,8,736,622
11,9,704,637
11,10,704,637
12,1,812,557
12,2,774,601
12,3,498,541
12,4,891,432
12,5,577,571
12,6,714,602
12,7,890,266
12,8,735,623
12,9,704,637
12,10,704,637
13,1,813,557
13,2,773,604
13,3,492,534
13,4,892,428
13,5,577,569
13,6,712,602
13,7,891,267
13,8,735,623
13,9,704,637
13,10,704,637
14,1,813,558
14,2,772,606
14,3,484,529
14,4,892,425
14,5,577,567
14,6,711,603
14,7,891,269
14,8,735,623
14,9,704,637
14,10,704,637
15,1,813,557
15,2,769,608
15,3,478,528
15,4,892,421
15,5,575,566
15,6,708,603
15,7,893,272
15,8,734,624
15,9,705,637
15,10,705,637
16,1,813,558
16,2,769,607
16,3,478,528
16,4,892,421
16,5,576,566
16,6,708,604
16,7,893,271
16,8,734,624
16,9,705,637
16,10,705,637
17,1,812,557
17,2,767,609
17,3,472,526
17,4,893,417
17,5,575,565
17,6,707,604
17,7,894,273
17,8,734,626
17,9,705,637
17,10,705,637
18,1,813,558
18,2,765,611
18,3,468,527
18,4,893,413
18,5,575,565
18,6,706,605
18,7,894,274
18,8,734,626
18,9,705,637
18,10,705,637
19,1,813,558
19,2,763,612
19,3,463,530
19,4,894,409
19,5,576,565
19,6,704,606
19,7,895,277
19,8,733,625
19,9,705,635
19,10,705,635
20,1,813,557
20,2,762,612
20,3,463,531
20,4,895,405
20,5,577,564
20,6,703,606
20,7,896,279
20,8,733,624
20,9,704,637
20,10,704,637
21,1,814,558
21,2,760,614
21,3,461,533
21,4,894,403
21,5,577,565
21,6,702,607
21,7,897,281
21,8,733,624
21,9,704,636
21,10,704,636
22,1,813,558
22,2,760,614
22,3,460,534
22,4,894,403
22,5,577,564
22,6,702,607
22,7,897,281
22,8,733,624
22,9,704,637
22,10,704,637
23,1,814,558
23,2,758,614
23,3,458,536
23,4,894,400
23,5,578,564
23,6,702,607
23,7,898,283
23,8,733,624
23,9,705,637
23,10,705,637
24,1,814,557
24,2,757,616
24,3,457,537
24,4,895,397
24,5,579,563
24,6,697,608
24,7,899,284
24,8,734,623
24,9,705,636
24,10,705,636
25,1,815,556
25,2,755,617
25,3,456,538
25,4,895,394
25,5,578,564
25,6,694,609
25,7,900,286
25,8,732,623
25,9,707,637
25,10,707,637
26,1,814,556
26,2,754,616
26,3,455,541
26,4,895,391
26,5,578,563
26,6,690,610
26,7,899,288
26,8,735,620
26,9,708,635
26,10,708,635
27,1,814,557
27,2,752,616
27,3,453,542
27,4,895,389
27,5,578,564
27,6,686,611
27,7,900,291
27,8,732,620
27,9,707,634
27,10,707,634
28,1,814,557
28,2,753,616
28,3,453,542
28,4,895,389
28,5,578,563
28,6,686,611
28,7,900,291
28,8,732,620
28,9,708,635
28,10,708,635
29,1,815,556
29,2,750,615
29,3,451,543
29,4,896,387
29,5,578,563
29,6,682,611
29,7,900,293
29,8,730,621
29,9,708,633
29,10,708,633
30,1,814,557
30,2,748,617
30,3,451,544
30,4,896,387
30,5,578,564
30,6,678,613
30,7,901,295
30,8,730,623
30,9,707,635
30,10,707,635
31,1,814,557
31,2,745,617
31,3,448,546
31,4,895,388
31,5,579,564
31,6,674,615
31,7,902,296
31,8,731,621
31,9,707,635
31,10,720,635
32,1,814,558
32,2,741,618
32,3,447,546
32,4,895,388
32,5,578,564
32,6,672,616
32,7,902,299
32,8,729,622
32,9,709,637
32,10,719,633
33,1,815,557
33,2,741,619
33,3,446,548
33,4,896,387
33,5,580,563
33,6,668,617
33,7,903,300
33,8,729,623
33,9,708,634
33,10,719,633
34,1,815,557
34,2,741,619
34,3,445,548
34,4,896,387
34,5,580,563
34,6,667,617
34,7,903,300
34,8,729,623
34,9,708,634
34,10,719,633
35,1,814,557
35,2,740,618
35,3,444,549
35,4,896,386
35,5,581,563
35,6,664,619
35,7,903,302
35,8,728,624
35,9,708,635
35,10,719,633
36,1,815,556
36,2,739,618
36,3,443,550
36,4,895,386
36,5,581,564
36,6,662,620
36,7,904,304
36,8,727,623
36,9,707,634
36,10,718,634
37,1,815,557
37,2,739,617
37,3,441,551
37,4,895,386
37,5,580,565
37,6,659,622
37,7,905,305
37,8,728,623
37,9,707,635
37,10,718,634
38,1,815,556
38,2,736,619
38,3,440,552
38,4,895,385
38,5,579,566
