frame_id,track_id,center_x,center_y
1,1,453,374
1,2,674,311
1,3,838,534
1,4,482,245
1,5,701,500
1,6,339,338
1,7,452,536
1,8,616,464
1,9,586,610
1,10,711,634
2,1,453,374
2,2,674,311
2,3,838,534
2,4,482,245
2,5,701,500
2,6,339,338
2,7,452,536
2,8,616,464
2,9,586,610
2,10,711,634
3,1,455,373
3,2,675,308
3,3,839,534
3,4,482,246
3,5,702,496
3,6,340,339
3,7,454,539
3,8,617,461
3,9,589,613
3,10,712,636
4,1,456,371
4,2,675,307
4,3,839,534
4,4,482,246
4,5,704,494
4,6,339,339
4,7,456,542
4,8,619,460
4,9,590,612
4,10,712,636
5,1,457,370
5,2,675,306
5,3,838,534
5,4,482,246
5,5,705,492
5,6,339,339
5,7,458,545
5,8,620,457
5,9,594,614
5,10,712,635
6,1,458,369
6,2,677,304
6,3,838,535
6,4,482,247
6,5,706,490
6,6,340,339
6,7,459,548
6,8,621,455
6,9,597,617
6,10,712,636
7,1,458,370
7,2,675,302
7,3,837,535
7,4,482,246
7,5,707,488
7,6,340,340
7,7,459,552
7,8,622,451
7,9,598,619
7,10,711,636
8,1,458,370
8,2,675,302
8,3,838,535
8,4,482,246
8,5,707,487
8,6,340,340
8,7,459,552
8,8,622,451
8,9,598,619
8,10,711,635
9,1,458,370
9,2,674,300
9,3,837,534
9,4,482,247
9,5,709,486
9,6,340,340
9,7,460,556
9,8,623,449
9,9,600,622
9,10,711,635
10,1,459,370
10,2,674,300
10,3,834,536
10,4,482,246
10,5,709,486
10,6,340,340
10,7,459,559
10,8,623,446
10,9,603,625
10,10,710,636
11,1,459,370
11,2,674,296
11,3,834,537
11,4,482,245
11,5,710,484
11,6,338,343
11,7,460,561
11,8,622,442
11,9,605,627
11,10,710,635
12,1,459,370
12,2,676,296
12,3,834,538
12,4,482,246
12,5,711,484
12,6,338,345
12,7,462,561
12,8,622,441
12,9,607,629
12,10,710,634
13,1,459,371
13,2,676,295
13,3,833,540
13,4,482,244
13,5,710,483
13,6,337,348
13,7,462,566
13,8,623,439
13,9,608,633
13,10,711,635
14,1,459,370
14,2,676,295
14,3,833,540
14,4,483,245
14,5,710,482
14,6,337,348
14,7,462,566
14,8,622,439
14,9,608,633
14,10,710,635
15,1,460,369
15,2,672,290
15,3,834,539
15,4,483,244
15,5,710,483
15,6,337,350
15,7,462,571
15,8,624,434
15,9,609,635
15,10,710,635
16,1,461,369
16,2,670,287
16,3,832,541
16,4,484,243
16,5,710,484
16,6,336,353
16,7,462,575
16,8,624,432
16,9,610,638
16,10,710,636
17,1,460,370
17,2,667,285
17,3,832,542
17,4,484,243
17,5,710,483
17,6,335,355
17,7,461,577
17,8,623,430
17,9,611,639
17,10,710,635
18,1,461,368
18,2,665,283
18,3,831,543
